N,Wide_Area,Narrow_Area,Wide_Error,Narrow_Error
100,0.777771,0.96875,0.176541,0.0256563
600,1.02082,0.924479,0.0807895,0.0212151
1100,0.98989,0.950284,0.0480383,0.00610566
1600,0.990443,0.953125,0.0486232,0.00911345
2100,0.907399,0.93006,0.0392982,0.0153069
2600,0.93856,0.920072,0.00630707,0.025881
3100,1.00671,0.944556,0.0658477,4.15723e-05
3600,1.05323,0.944878,0.1151,0.000382509
4100,0.90819,0.945503,0.0384614,0.00104377
4600,0.921489,0.919837,0.0243805,0.02613
5100,0.995089,0.930453,0.0535427,0.0148899
5600,0.977422,0.939732,0.0348376,0.00506613
6100,0.957869,0.933145,0.0141366,0.0120397
6600,0.963375,0.944839,0.0199659,0.000340734
7100,0.910594,0.947183,0.0359155,0.00282251
7600,0.938954,0.95148,0.00589034,0.0073721
8100,0.892996,0.927662,0.0545474,0.0178453
8600,0.954126,0.945858,0.0101731,0.00141911
9100,0.954051,0.951065,0.0100942,0.00693198
9600,0.88917,0.925944,0.058598,0.0196642
10100,0.977989,0.947865,0.0354381,0.00354458
10600,0.965793,0.94089,0.0225259,0.0038399
11100,0.986227,0.944398,0.0441604,0.000126693
11600,0.938689,0.951239,0.00617056,0.0071169
12100,0.921594,0.949768,0.0242695,0.00555879
12600,0.934405,0.933532,0.0107059,0.0116307
13100,0.9262,0.935949,0.0193927,0.00907105
13600,0.938615,0.954159,0.00624885,0.0102082
14100,0.935669,0.945035,0.00936753,0.00054872
14600,0.91761,0.939212,0.028488,0.00561647
15100,0.906541,0.943088,0.0402071,0.00151341
15600,0.935444,0.948017,0.00960619,0.00370522
16100,0.93719,0.939926,0.00775786,0.00486062
16600,0.961672,0.945783,0.018162,0.00134031
17100,0.914222,0.942069,0.0320749,0.0025923
17600,0.897088,0.940341,0.0502153,0.0044216
18100,0.964157,0.949327,0.020793,0.00509199
18600,0.960714,0.946909,0.0171486,0.00253189
19100,0.935565,0.944454,0.00947837,6.73909e-05
19600,0.926083,0.952009,0.019517,0.00793182
20100,0.952866,0.952114,0.0088393,0.00804352
20600,0.948144,0.940686,0.0038401,0.00405658
21100,0.933509,0.942684,0.0116545,0.00194124
21600,0.963662,0.942925,0.0202691,0.00168535
22100,0.947578,0.943015,0.00324095,0.00159074
22600,0.948554,0.947801,0.00427345,0.00347718
23100,0.960429,0.942302,0.0168467,0.00234479
23600,0.980865,0.941936,0.0384826,0.0027329
24100,0.962532,0.936787,0.0190728,0.00818446
24600,0.98407,0.953252,0.0418761,0.00924795
25100,0.959819,0.932956,0.0162005,0.0122407
25600,0.972214,0.953186,0.0293234,0.00917807
26100,0.926024,0.947438,0.0195794,0.00309211
