Size,Merge,MergeInsertion
500,36,7
600,45,8
700,53,14
800,59,14
900,67,16
1000,72,16
1100,82,16
1200,91,18
1300,99,20
1400,111,30
1500,128,32
1600,129,32
1700,141,35
1800,141,35
1900,148,36
2000,153,36
2100,161,38
2200,176,38
2300,183,42
2400,197,42
2500,206,42
2600,214,51
2700,224,58
2800,248,72
2900,256,77
3000,576,80
3100,277,80
3200,320,84
3300,305,85
3400,300,86
3500,356,86
3600,327,86
3700,311,83
3800,316,82
3900,310,82
4000,327,84
4100,318,79
4200,335,87
4300,348,83
4400,375,89
4500,397,92
4600,410,99
4700,447,104
4800,425,95
4900,427,100
5000,428,91
5100,424,97
5200,462,109
5300,443,113
5400,487,137
5500,494,152
5600,511,159
5700,477,162
5800,494,158
5900,499,155
6000,544,163
6100,507,169
6200,515,161
6300,520,153
6400,539,162
6500,581,167
6600,564,201
6700,560,174
6800,558,167
6900,587,174
7000,636,177
7100,696,200
7200,658,181
7300,622,189
7400,927,224
7500,661,181
7600,664,194
7700,650,215
7800,649,190
7900,662,225
8000,652,178
8100,647,198
8200,677,179
8300,673,207
8400,697,194
8500,720,193
8600,718,183
8700,748,183
8800,738,191
8900,734,196
9000,756,201
9100,767,200
9200,774,192
9300,777,194
9400,822,190
9500,811,203
9600,819,208
9700,835,213
9800,825,210
9900,879,245
10000,958,240
10100,979,216
10200,893,199
10300,883,217
10400,892,224
10500,928,239
10600,924,255
10700,906,270
10800,950,276
10900,942,293
11000,963,304
11100,967,307
11200,990,320
11300,981,322
11400,987,331
11500,992,328
11600,1031,323
11700,1010,336
11800,1021,331
11900,1019,336
12000,1004,336
12100,1083,344
12200,1030,341
12300,1051,333
12400,1054,333
12500,1056,326
12600,1122,335
12700,1107,376
12800,1088,344
12900,1119,346
13000,1116,358
13100,1100,364
13200,1110,347
13300,1168,358
13400,1171,385
13500,1154,365
13600,1197,364
13700,1183,374
13800,1183,382
13900,1206,368
14000,1192,369
14100,1208,379
14200,1195,357
14300,1251,359
14400,1225,370
14500,1257,354
14600,1269,370
14700,1301,374
14800,1321,376
14900,1316,361
15000,1301,358
15100,1300,422
15200,1289,429
15300,1295,424
15400,1310,434
15500,1330,433
15600,1316,427
15700,1405,456
15800,1325,418
15900,1320,421
16000,1344,428
16100,1314,439
16200,1334,435
16300,1387,396
16400,1406,408
16500,1402,405
16600,1440,396
16700,1446,416
16800,1437,404
16900,1424,422
17000,1449,404
17100,1448,409
17200,1488,407
17300,1475,410
17400,1495,397
17500,1500,420
17600,1517,410
17700,1528,391
17800,1490,408
17900,1542,403
18000,1551,403
18100,1571,421
18200,1566,428
18300,1589,434
18400,1569,419
18500,1582,437
18600,1616,433
18700,1606,427
18800,1625,435
18900,1648,427
19000,1668,434
19100,1663,432
19200,1674,448
19300,1678,446
19400,1691,441
19500,1707,445
19600,1715,443
19700,1723,444
19800,1739,455
19900,1720,450
20000,1752,451
20100,1756,447
20200,1751,473
20300,1796,463
20400,1781,430
20500,1777,444
20600,1803,476
20700,1830,487
20800,1829,495
20900,1838,512
21000,1849,516
21100,1848,535
21200,1884,553
21300,1881,566
21400,1875,573
21500,1914,593
21600,1905,608
21700,1926,608
21800,1930,606
21900,1932,621
22000,1943,636
22100,1943,650
22200,2052,706
22300,2089,672
22400,1980,674
22500,2018,677
22600,1997,683
22700,2035,684
22800,2023,680
22900,2034,691
23000,2032,675
23100,2049,697
23200,2038,705
23300,2042,694
23400,2053,688
23500,2057,681
23600,2078,696
23700,2071,674
23800,2069,712
23900,2089,704
24000,2098,709
24100,2113,711
24200,2139,704
24300,2121,717
24400,2110,711
24500,2127,704
24600,2118,703
24700,2140,720
24800,2165,739
24900,2191,741
25000,2168,697
25100,2197,720
25200,2175,752
25300,2179,754
25400,2179,734
25500,2194,737
25600,2219,720
25700,2231,729
25800,2224,740
25900,2246,742
26000,2310,744
26100,2281,755
26200,2295,756
26300,2298,756
26400,2312,736
26500,2302,763
26600,2317,751
26700,2326,762
26800,2351,769
26900,2343,755
27000,2371,753
27100,2370,766
27200,2370,766
27300,2385,775
27400,2373,766
27500,2373,773
27600,2396,785
27700,2408,778
27800,2445,750
27900,2450,779
28000,2449,761
28100,2450,796
28200,2451,790
28300,2481,784
28400,2466,774
28500,2474,781
28600,2482,762
28700,2476,773
28800,2487,776
28900,2488,789
29000,2500,769
29100,2498,769
29200,2513,780
29300,2524,800
29400,2507,801
29500,2556,782
29600,2600,805
29700,2581,837
29800,2597,785
29900,2600,819
30000,2599,801
30100,2604,784
30200,2593,821
30300,2610,806
30400,2626,819
30500,2653,801
30600,2629,814
30700,2627,830
30800,2671,802
30900,2673,773
31000,2648,810
31100,2666,821
31200,2684,833
31300,2699,835
31400,2705,833
31500,2778,843
31600,2680,815
31700,2672,843
31800,2667,818
31900,2672,826
32000,2698,818
32100,2681,807
32200,2644,790
32300,2684,829
32400,2750,829
32500,2727,825
32600,2761,821
32700,2762,842
32800,2747,831
32900,2786,839
33000,2799,853
33100,2822,858
33200,2826,846
33300,3276,956
33400,2825,859
33500,2850,846
33600,2864,879
33700,2841,876
33800,2895,869
33900,2920,861
34000,2926,868
34100,2961,851
34200,2952,862
34300,2967,847
34400,2966,843
34500,2956,848
34600,3001,834
34700,3122,895
34800,3035,870
34900,3062,876
35000,3048,859
35100,3059,889
35200,3073,845
35300,3090,844
35400,3093,891
35500,3089,897
35600,3112,865
35700,3121,856
35800,3140,862
35900,3130,896
36000,3136,858
36100,3172,871
36200,3169,855
36300,3163,896
36400,3226,902
36500,3208,883
36600,3173,892
36700,3197,869
36800,3188,878
36900,3226,885
37000,3257,894
37100,3236,906
37200,3269,880
37300,3283,934
37400,3282,931
37500,3335,934
37600,3317,900
37700,3323,903
37800,3313,925
37900,3327,933
38000,3354,932
38100,3358,877
38200,3380,933
38300,3379,916
38400,3405,929
38500,3396,940
38600,3414,918
38700,3404,929
38800,3441,956
38900,3473,916
39000,3489,925
39100,3506,957
39200,3494,932
39300,3483,969
39400,3489,954
39500,3502,911
39600,3522,958
39700,3502,939
39800,3520,950
39900,3547,933
40000,3542,934
40100,3573,972
40200,3564,919
40300,3606,979
40400,3612,939
40500,3605,965
40600,3599,957
40700,3573,939
40800,3624,941
40900,3715,982
41000,4433,1037
41100,3670,987
