Size,Merge,MergeInsertion
500,43,13
600,54,14
700,62,24
800,70,24
900,79,26
1000,87,28
1100,98,30
1200,108,32
1300,117,36
1400,130,49
1500,144,55
1600,152,61
1700,160,58
1800,168,59
1900,177,62
2000,184,63
2100,221,79
2200,206,67
2300,215,69
2400,231,71
2500,238,74
2600,248,81
2700,259,96
2800,284,118
2900,297,118
3000,306,119
3100,337,125
3200,343,147
3300,355,134
3400,355,134
3500,375,140
3600,365,134
3700,382,134
3800,370,137
3900,377,148
4000,378,136
4100,389,141
4200,397,144
4300,412,144
4400,422,146
4500,489,164
4600,468,162
4700,491,164
4800,501,171
4900,491,164
5000,500,167
5100,492,164
5200,505,176
5300,520,194
5400,564,217
5500,627,249
5600,580,220
5700,605,243
5800,597,229
5900,572,249
6000,581,238
6100,593,249
6200,601,244
6300,613,292
6400,601,255
6500,631,251
6600,618,256
6700,660,258
6800,694,262
6900,676,271
7000,686,281
7100,749,319
7200,795,350
7300,783,329
7400,825,365
7500,808,313
7600,1168,338
7700,773,295
7800,770,291
7900,760,293
8000,774,297
8100,776,302
8200,782,306
8300,800,306
8400,814,309
8500,823,314
8600,843,305
8700,860,321
8800,842,317
8900,878,319
9000,874,340
9100,891,346
9200,896,327
9300,938,331
9400,932,333
9500,915,337
9600,949,338
9700,965,343
9800,1050,347
9900,994,346
10000,998,347
10100,1139,399
10200,1009,354
10300,998,361
10400,1042,403
10500,1044,394
10600,1045,398
10700,1069,454
10800,1081,434
10900,1078,446
11000,1119,456
11100,1115,468
11200,1124,476
11300,1137,487
11400,1179,490
11500,1152,489
11600,1153,496
11700,1141,483
11800,1176,484
11900,1185,528
12000,1194,504
12100,1196,507
12200,1205,508
12300,1271,498
12400,1232,541
12500,1247,519
12600,1240,525
12700,1260,540
12800,1272,528
12900,1316,521
13000,1289,594
13100,1325,538
13200,1323,543
13300,1320,550
13400,1330,548
13500,1342,553
13600,1395,539
13700,1410,544
13800,1375,609
13900,1392,582
14000,1416,566
14100,1422,568
14200,1415,575
14300,1479,628
14400,1425,583
14500,1447,579
14600,1455,615
14700,1444,606
14800,1478,602
14900,1454,599
15000,1471,604
15100,1476,612
15200,1482,604
15300,1484,597
15400,1502,611
15500,1557,617
15600,1519,597
15700,1549,622
15800,1561,620
15900,1530,605
16000,1544,624
16100,1555,610
16200,1547,637
16300,1588,629
16400,1575,626
16500,1605,654
16600,1626,645
16700,1605,659
16800,1672,664
16900,1675,663
17000,1705,669
17100,1730,668
17200,1746,721
17300,1784,665
17400,1801,652
17500,1815,678
17600,1776,677
17700,1746,675
17800,1784,686
17900,1818,675
18000,1812,687
18100,1828,693
18200,1831,692
18300,1870,694
18400,1796,684
18500,1862,702
18600,1877,708
18700,1892,711
18800,1899,695
18900,1913,711
19000,1918,715
19100,1937,720
19200,1946,732
19300,1968,728
19400,1971,2707
19500,1974,727
19600,1986,729
19700,1991,731
19800,2015,733
19900,2026,737
20000,2024,737
20100,2030,742
20200,2055,753
20300,2076,753
20400,2022,761
20500,2078,769
20600,2102,788
20700,2112,802
20800,2124,811
20900,2142,825
21000,2147,836
21100,2156,850
21200,2188,872
21300,2175,884
21400,2192,892
21500,2206,913
21600,2218,922
21700,2228,935
21800,2239,947
21900,2252,975
22000,2257,968
22100,2263,979
22200,2305,990
22300,2308,1000
22400,2284,1004
22500,2316,991
22600,2324,1034
22700,2327,1059
22800,2339,1038
22900,2343,1037
23000,2359,1038
23100,2404,1042
23200,2381,1043
23300,2383,1061
23400,2386,1049
23500,2400,1050
23600,2414,1052
23700,2419,1060
23800,2419,1060
23900,2433,1068
24000,2461,1075
24100,2457,1084
24200,2464,1071
24300,2481,1069
24400,2485,1078
24500,2483,1082
24600,2492,1080
24700,2516,1092
24800,2530,1096
24900,2568,1097
25000,2534,1095
25100,2526,1097
25200,2544,1098
25300,2548,1101
25400,2559,1109
25500,2565,1114
25600,2574,1112
25700,2594,1109
25800,2597,1114
