Size,Merge,MergeInsertion
500,37,6
600,46,7
700,54,9
800,62,12
900,69,11
1000,75,12
1100,85,13
1200,95,16
1300,101,18
1400,116,20
1500,117,23
1600,126,25
1700,134,23
1800,141,24
1900,156,26
2000,151,27
2100,160,27
2200,173,30
2300,180,32
2400,193,34
2500,200,37
2600,205,38
2700,216,39
2800,226,42
2900,233,46
3000,238,47
3100,242,51
3200,251,54
3300,261,45
3400,267,47
3500,278,47
3600,284,50
3700,295,51
3800,301,52
3900,307,59
4000,307,55
4100,311,54
4200,324,57
4300,337,61
4400,353,61
4500,361,63
4600,390,69
4700,423,133
4800,461,78
4900,474,123
5000,399,74
5100,410,76
5200,420,78
5300,425,82
5400,476,91
5500,503,91
5600,471,94
5700,482,91
5800,467,94
5900,477,96
6000,482,104
6100,483,103
6200,493,110
6300,502,111
6400,511,112
6500,522,98
6600,530,102
6700,561,102
6800,546,101
6900,556,101
7000,563,100
7100,571,100
7200,606,107
7300,640,116
7400,615,110
7500,696,142
7600,655,122
7700,677,146
7800,623,131
7900,636,119
8000,636,125
8100,632,121
8200,635,120
8300,656,124
8400,667,130
8500,686,130
8600,709,132
8700,705,128
8800,802,147
8900,855,143
9000,792,147
9100,809,144
9200,784,142
9300,778,148
9400,783,142
9500,786,145
9600,798,150
9700,819,157
9800,812,150
9900,847,155
10000,873,161
10100,834,160
10200,828,169
10300,828,165
10400,840,170
10500,854,166
10600,861,173
10700,897,176
10800,887,187
10900,887,180
11000,940,203
11100,952,215
11200,929,197
11300,954,192
11400,973,196
11500,935,197
11600,955,195
11700,945,197
11800,970,202
11900,991,207
12000,990,208
12100,964,214
12200,981,218
12300,991,233
12400,986,249
12500,1007,236
12600,1012,235
12700,1080,233
12800,1045,237
12900,1055,222
13000,1170,223
13100,1059,209
13200,1121,198
13300,1218,225
13400,1084,221
13500,1122,207
13600,1119,204
13700,1115,216
13800,1185,219
13900,1178,224
14000,1157,209
14100,1176,209
14200,1156,224
14300,1165,233
14400,1169,227
14500,1246,217
14600,1203,261
14700,1197,229
14800,1209,223
14900,1237,226
15000,1229,227
15100,1232,228
15200,1240,234
15300,1250,243
15400,1294,257
15500,1254,251
15600,1295,270
15700,1294,249
15800,1335,250
15900,1277,286
16000,1299,268
16100,1293,251
16200,1291,259
16300,1291,258
16400,1298,266
16500,1282,255
16600,1329,266
16700,1337,269
16800,1327,252
16900,1349,267
17000,1409,271
17100,1400,288
17200,1418,321
17300,1452,293
17400,1485,279
17500,1492,292
17600,1498,278
17700,1522,286
17800,1477,289
17900,1495,297
18000,1501,301
18100,1491,296
18200,1496,282
18300,1509,301
18400,1511,298
18500,1536,309
18600,1549,293
18700,1556,305
18800,1566,305
18900,1561,305
19000,1582,306
19100,1581,300
19200,1611,304
19300,1627,308
19400,1634,318
19500,1621,324
19600,1629,322
19700,1632,317
19800,1642,319
19900,1649,345
20000,1656,333
20100,1666,327
20200,1674,331
20300,1664,343
20400,1678,345
20500,1694,342
20600,1699,346
20700,1679,352
20800,1702,359
20900,1713,362
21000,1747,359
21100,1715,356
21200,1737,363
21300,1756,377
21400,1780,375
21500,1782,379
21600,1807,376
21700,1791,375
21800,1817,382
21900,1806,385
22000,1826,385
22100,1847,382
22200,1838,396
22300,1875,400
22400,1875,417
22500,1868,399
22600,1885,399
22700,1878,412
22800,1889,415
22900,1903,408
23000,1916,424
23100,1907,416
23200,1928,415
23300,1944,443
23400,1919,418
23500,1935,422
23600,1954,443
23700,1943,448
23800,1949,438
23900,1957,440
24000,1997,451
24100,2005,441
24200,1964,467
24300,1987,453
24400,1999,466
24500,2006,463
24600,2006,495
24700,2014,487
24800,2011,464
24900,2050,489
25000,2038,496
25100,2053,473
25200,2056,485
25300,2064,491
25400,2103,495
25500,2101,495
25600,2112,483
25700,2111,487
25800,2127,469
25900,2154,451
26000,2146,460
26100,2157,424
26200,2158,434
26300,2169,426
26400,2201,431
26500,2197,448
26600,2185,437
26700,2201,434
26800,2195,443
26900,2211,448
27000,2225,447
27100,2246,457
27200,2235,439
27300,2276,464
27400,2261,452
27500,2263,438
27600,2285,439
27700,2297,441
27800,2294,440
27900,2321,443
28000,2331,457
28100,2340,462
28200,2327,458
28300,2350,465
28400,2363,463
28500,2333,468
28600,2351,485
28700,2354,464
28800,2366,474
28900,2378,471
29000,2360,481
29100,2370,474
29200,2384,466
29300,2404,475
29400,2416,487
29500,2412,477
29600,2433,488
29700,2438,479
29800,2454,479
29900,2468,500
30000,2460,491
30100,2491,497
30200,2494,495
30300,2488,502
30400,2485,515
30500,2516,519
30600,2492,541
30700,2530,539
30800,2521,530
30900,2540,571
31000,2515,577
31100,2532,521
31200,2540,575
31300,2539,561
31400,2545,542
31500,2549,537
31600,2542,516
31700,2555,513
31800,2542,503
31900,2557,544
32000,2545,538
32100,2567,555
32200,2566,552
32300,2565,531
32400,2584,545
32500,2596,529
32600,2597,529
32700,2575,529
32800,2603,544
32900,2579,546
33000,2628,533
33100,2631,538
33200,2648,533
33300,2665,548
33400,2688,549
33500,2700,556
33600,2695,554
33700,2714,574
33800,2739,562
33900,2758,560
34000,2791,601
34100,2790,577
34200,2816,589
34300,2824,581
34400,2825,566
34500,2868,580
34600,2870,578
34700,2862,577
34800,2877,567
34900,2872,582
35000,2902,601
35100,2910,580
35200,2916,580
35300,2941,585
35400,2932,592
35500,2962,603
35600,2973,598
35700,3003,634
35800,2974,608
35900,2988,620
36000,3034,639
36100,3021,607
36200,3047,605
36300,3031,623
36400,3031,606
36500,3037,609
36600,3054,620
36700,3074,611
36800,3073,624
36900,3080,622
37000,3095,626
37100,3107,661
37200,3107,632
37300,3137,639
37400,3134,649
37500,3137,642
37600,3160,633
37700,3161,651
37800,3194,656
37900,3212,674
38000,3223,651
38100,3208,652
38200,3229,660
38300,3246,665
38400,3251,659
38500,3255,671
38600,3273,656
38700,3289,667
38800,3284,658
38900,3303,685
39000,3311,704
39100,3309,672
39200,3328,696
39300,3345,680
39400,3363,679
39500,3344,670
39600,3351,690
39700,3366,722
39800,3364,682
39900,3368,717
40000,3370,703
40100,3360,688
40200,3383,691
40300,3383,694
40400,3400,701
40500,3389,732
40600,3379,719
40700,3368,742
40800,3376,742
40900,3375,715
41000,3377,714
41100,3395,710
41200,3393,725
41300,3389,734
41400,3414,718
41500,3432,730
41600,3445,724
41700,3440,739
41800,3478,726
41900,3466,714
42000,3500,739
42100,3501,786
42200,3498,719
42300,3522,748
42400,3503,771
42500,3561,788
42600,3534,762
42700,3561,751
42800,3586,770
42900,3563,779
43000,3591,783
43100,3602,792
43200,3634,779
43300,3629,784
43400,3652,774
43500,3705,795
43600,3652,791
43700,3700,792
43800,3674,807
43900,3681,802
44000,3681,810
44100,3695,812
44200,3706,814
44300,3740,804
44400,3723,821
44500,4565,836
44600,3818,871
44700,3790,831
44800,3800,850
44900,3801,854
45000,3792,854
45100,3830,852
45200,3813,849
45300,3828,838
45400,3799,891
45500,3834,874
45600,3831,861
45700,5489,1097
45800,4618,951
45900,4077,939
46000,4634,1090
46100,4374,1088
46200,4322,961
46300,4613,1013
46400,4485,1035
46500,4461,999
46600,4054,1004
46700,3957,943
46800,3967,912
46900,3980,876
47000,3964,888
47100,3982,931
47200,3977,876
47300,3998,919
47400,4419,936
47500,3918,897
47600,3967,924
47700,3982,917
47800,3984,938
47900,3989,947
48000,3981,932
48100,3972,923
48200,4011,913
48300,3991,911
48400,3992,974
48500,4039,962
48600,4032,962
48700,4590,1032
48800,4392,978
48900,4131,1202
49000,4324,983
49100,4814,979
49200,4172,1087
49300,4024,1201
49400,4347,1014
49500,4295,987
49600,4242,1005
49700,4192,1083
49800,4208,1170
49900,4293,1073
50000,4337,1057
50100,4288,1087
50200,4234,1202
50300,4246,1134
50400,4216,1036
50500,4195,1015
50600,4212,1060
50700,4219,1045
50800,4186,1050
50900,4189,1017
51000,4232,1017
51100,4202,1018
51200,4264,1002
51300,4304,1088
51400,4289,1040
51500,4287,1028
51600,4314,1015
51700,4305,942
51800,4312,940
51900,4289,970
52000,4318,937
52100,4295,921
52200,4360,910
52300,4351,931
52400,4386,918
52500,4415,928
52600,4367,947
52700,4390,940
52800,4384,937
52900,4389,921
53000,4363,910
53100,4457,943
53200,4411,925
53300,4418,925
53400,4481,967
53500,4415,986
53600,4434,970
53700,4438,932
53800,4492,925
53900,4450,942
54000,4500,993
54100,4531,974
54200,4543,976
54300,4552,953
54400,4524,945
54500,4519,971
54600,4524,2147
54700,4569,934
54800,4548,935
54900,4638,967
55000,4633,934
55100,4612,938
55200,4626,969
55300,4591,937
55400,4648,939
55500,4646,953
55600,4614,940
55700,4682,926
55800,4676,928
55900,4696,972
56000,4702,947
56100,4674,970
56200,4703,968
56300,4730,1008
56400,4714,962
56500,4704,956
56600,4744,985
56700,4755,950
56800,5304,1014
56900,4903,997
57000,4757,982
57100,4752,990
57200,4773,1007
57300,4759,975
57400,4774,1069
57500,4806,1010
57600,4821,995
57700,4793,1006
57800,4826,1061
57900,4812,1005
58000,4824,1007
58100,4814,994
58200,4792,1001
58300,4861,1027
58400,4916,1008
58500,4903,1043
58600,4986,1022
58700,4938,1037
58800,4900,1025
58900,4921,1006
59000,4931,1003
59100,4994,1055
59200,4972,1072
59300,4980,1019
59400,4974,1032
59500,4963,1057
59600,5007,1038
59700,4980,1016
59800,4993,1037
59900,5045,1049
60000,5071,1047
60100,5029,1089
60200,5015,1059
60300,4995,1042
60400,5014,1022
60500,5000,1048
60600,4985,1040
60700,5130,1114
60800,5083,1065
60900,5108,1064
61000,5086,1079
61100,5073,1063
61200,5122,1113
61300,5126,1134
61400,5065,1098
61500,5160,1153
61600,5206,1171
61700,5090,1187
61800,5143,1182
61900,5131,1111
62000,5120,1180
62100,5116,1109
62200,5111,1108
62300,5162,1224
62400,5151,1168
62500,5154,1171
62600,5163,1209
62700,5113,1138
62800,5141,1177
62900,5139,1113
63000,5127,1148
63100,5200,1156
63200,5171,1073
63300,5181,1120
63400,5250,1096
63500,5188,1093
63600,5189,1082
63700,5226,1089
63800,5252,1169
63900,5244,1154
64000,5235,1196
64100,5178,1145
64200,5202,1113
64300,5201,1171
64400,5240,1135
64500,5195,1123
64600,5251,1201
64700,5323,1162
64800,5216,1147
64900,5219,1104
65000,5240,1128
65100,5212,1124
65200,5227,1139
65300,5347,1150
65400,5242,1153
65500,5331,1159
65600,5282,1158
65700,5325,1157
65800,5332,1150
65900,5276,1153
66000,5329,1170
66100,5376,1167
66200,5326,1122
66300,5423,1212
66400,5403,1159
66500,5421,1129
66600,5390,1204
66700,5403,1154
66800,5524,1185
66900,5447,1255
67000,5452,1185
67100,5523,1189
67200,5485,1173
67300,5468,1173
67400,5480,1152
67500,5477,1243
67600,5560,1195
67700,5729,1393
67800,5601,1205
67900,5598,1266
68000,5569,1241
68100,5578,1149
68200,5654,1193
68300,5661,1213
68400,5720,1216
68500,5688,1191
68600,5725,1203
68700,5737,1180
68800,5746,1217
68900,5689,1188
69000,5796,1257
69100,5780,1213
69200,5786,1230
69300,5834,1208
69400,5804,1219
69500,5791,1212
69600,5844,1215
69700,5834,1208
69800,5919,1272
69900,5873,1278
70000,5878,1278
70100,5886,1251
70200,5872,1234
70300,5930,1312
70400,5910,1223
70500,5936,1222
70600,5961,1299
70700,5926,1260
70800,5982,1283
70900,6020,1282
71000,5991,1305
71100,6024,1267
71200,6052,1282
71300,6035,1248
71400,6023,1285
71500,6046,1279
71600,6028,1240
71700,6041,1352
71800,6075,1284
71900,6087,1285
72000,6072,1259
72100,6055,1947
72200,6043,1295
72300,6196,1325
72400,6112,1326
72500,6115,1311
72600,6126,1290
72700,6114,1251
72800,6070,1228
72900,6113,1267
73000,6224,1326
73100,6225,1315
73200,6157,1299
73300,6212,1337
73400,6230,1340
73500,6191,1325
73600,6210,1320
73700,6193,1304
73800,6304,1338
73900,6269,1360
74000,6240,1359
74100,6235,1343
74200,6261,1318
74300,6490,1430
74400,6306,1382
74500,6286,1329
74600,6333,1393
74700,6311,1355
74800,6291,1335
74900,6443,1373
75000,6376,1419
75100,6408,1345
75200,6426,1327
75300,6346,1294
75400,6394,1320
75500,6450,1346
75600,6424,1371
75700,6440,1404
75800,6446,1403
75900,6467,1396
76000,6495,1348
76100,6483,1388
76200,6908,1532
76300,6680,1537
76400,6559,1403
76500,6499,1359
76600,6507,1362
76700,6510,1356
76800,6622,1413
76900,6602,1419
77000,6602,1443
77100,6605,1423
77200,6635,1373
77300,6590,1373
77400,6721,1438
77500,6643,1422
77600,6680,1416
77700,6641,1398
77800,6645,1390
77900,6677,1390
78000,6682,1511
78100,6747,1487
78200,6704,1449
78300,6728,1414
78400,6745,1401
78500,8283,2771
78600,7633,1546
78700,6788,1499
78800,6800,1420
78900,6772,1424
79000,6729,1401
79100,6723,1412
79200,7211,1471
79300,6739,1491
79400,6819,1475
79500,6820,1423
79600,6766,1471
79700,6731,1482
79800,6824,1509
79900,6860,1448
80000,6760,1472
80100,6780,1434
80200,6802,1407
80300,6850,1433
80400,7310,1434
80500,6875,1522
80600,6891,1524
80700,6856,1458
80800,6848,1434
80900,6937,1488
81000,6905,1556
81100,6898,1493
81200,6815,1515
81300,6776,1454
81400,6813,1474
81500,6937,1564
81600,6869,1575
81700,6875,1501
81800,6862,2228
81900,6819,1504
82000,6853,1534
82100,6915,1548
82200,6871,1584
82300,6875,1493
82400,6864,1525
82500,6843,1551
82600,6890,1543
82700,6909,1528
82800,6902,1560
82900,6923,1558
83000,6925,1594
83100,6925,1576
83200,6963,1625
83300,6930,1602
83400,6959,1599
83500,7010,1639
83600,7001,1561
83700,6985,1527
83800,7014,1675
83900,7093,1539
84000,7061,1576
84100,7075,1579
84200,7085,1592
84300,7029,1520
84400,7112,1590
84500,7021,1604
84600,7078,1587
84700,7202,1627
84800,7074,1610
84900,7226,1599
85000,7197,1690
85100,7212,1662
85200,7144,1661
85300,7167,1682
85400,7108,1594
85500,7221,1660
85600,7269,1700
85700,7289,1662
85800,7256,1676
85900,7211,1633
86000,7324,1646
86100,7356,1676
86200,7332,1683
86300,7305,1728
86400,7333,1724
86500,7313,1663
86600,7277,1696
86700,7351,1720
86800,7313,1721
86900,7375,1701
87000,7348,1688
87100,7462,1702
87200,7463,1728
87300,7442,1717
87400,7424,1749
87500,7434,1731
87600,7425,1691
87700,7479,1707
87800,7469,1774
87900,7472,1779
88000,7438,1681
88100,7520,1729
88200,7517,1782
88300,7529,1724
88400,7513,1740
88500,7480,1674
88600,7447,1643
88700,7699,1749
88800,7546,1729
88900,7524,1805
89000,7585,1759
89100,7583,1751
89200,7599,1827
89300,7623,1747
89400,7587,1781
89500,7626,1774
89600,7570,1746
89700,7556,1695
89800,7698,1823
89900,7645,1834
90000,7642,1779
90100,7697,1738
90200,7665,1775
90300,7729,1860
90400,7699,1803
90500,7707,1811
90600,7692,1845
90700,7680,1802
90800,7713,1794
90900,7728,1870
91000,7709,1824
91100,7717,1825
91200,7715,1834
91300,7860,1785
91400,7727,1843
91500,7725,1820
91600,7731,1818
91700,7786,1827
91800,7869,1857
91900,7802,1843
92000,7778,1798
92100,7808,1831
92200,7827,1833
92300,7865,1938
92400,7863,1872
92500,7848,1820
92600,7813,1840
92700,7812,1872
92800,7857,1836
92900,7855,1959
93000,7848,1884
93100,7832,1921
93200,7839,1953
93300,7854,1890
93400,7896,1879
93500,7893,1886
93600,7868,1844
93700,7864,1939
93800,7869,1957
93900,7897,1837
94000,7851,1973
94100,7878,1856
94200,7885,1871
94300,7911,1871
94400,7963,1951
94500,7892,1892
94600,7989,1913
94700,7989,1933
94800,8037,1950
94900,8018,1921
95000,7940,1868
95100,7991,1901
95200,7941,1949
95300,8015,1978
95400,8057,1966
95500,8059,1985
95600,7985,1952
95700,8008,1943
95800,8038,2122
95900,8028,1942
96000,7971,2037
96100,7989,1931
96200,8029,1954
96300,8132,2005
96400,8096,1937
96500,8100,1965
96600,8076,1917
96700,8031,1956
96800,8156,2018
96900,8112,2012
97000,8077,2015
97100,8096,1993
97200,8075,2004
97300,8150,2077
97400,8056,2058
97500,8143,2052
97600,8097,2033
97700,8109,2012
97800,8186,2047
97900,8121,2028
98000,8183,2054
98100,8154,2017
98200,8141,2039
98300,8205,2077
98400,8189,2144
98500,8193,2251
98600,8143,2104
98700,8102,2155
98800,8175,2095
98900,8188,2101
99000,8272,2060
99100,8157,2077
99200,8292,2076
99300,8246,2052
99400,8295,2133
99500,8289,2125
99600,8223,2149
99700,8321,2141
99800,8306,2219
99900,8307,2162
100000,8259,2188
