stream_id,stream_size,percentage,exact,estimate
0,5000,10,498,489.07
0,5000,20,987,972.92
0,5000,30,1485,1481.28
0,5000,40,1976,1992.89
0,5000,50,2463,2466.60
0,5000,60,2951,2965.05
0,5000,70,3435,3422.81
0,5000,80,3917,3919.98
0,5000,90,4401,4408.93
0,5000,100,4887,4828.77
1,5000,10,499,502.61
1,5000,20,990,984.35
1,5000,30,1481,1464.08
1,5000,40,1976,1954.04
1,5000,50,2468,2459.30
1,5000,60,2957,2960.92
1,5000,70,3440,3511.40
1,5000,80,3930,4014.81
1,5000,90,4415,4474.00
1,5000,100,4897,5001.40
2,5000,10,498,503.74
2,5000,20,994,989.44
2,5000,30,1478,1465.51
2,5000,40,1960,1949.21
2,5000,50,2444,2415.78
2,5000,60,2931,2924.00
2,5000,70,3418,3406.70
2,5000,80,3903,3933.02
2,5000,90,4384,4476.98
2,5000,100,4873,4960.91
3,20000,10,1981,2010.82
3,20000,20,3936,4033.51
3,20000,30,5882,6041.94
3,20000,40,7812,7847.32
3,20000,50,9748,9781.97
3,20000,60,11683,11758.27
3,20000,70,13611,13656.17
3,20000,80,15536,15493.74
3,20000,90,17461,17518.45
3,20000,100,19389,19592.96
4,20000,10,1965,1988.02
4,20000,20,3917,3935.63
4,20000,30,5853,5829.00
4,20000,40,7773,7895.14
4,20000,50,9699,9903.59
4,20000,60,11623,11757.28
4,20000,70,13547,13562.92
4,20000,80,15476,15484.85
4,20000,90,17404,17448.80
4,20000,100,19332,19350.60
5,20000,10,1980,1981.52
5,20000,20,3931,3896.61
5,20000,30,5880,5837.31
5,20000,40,7807,7943.54
5,20000,50,9728,9937.40
5,20000,60,11665,12087.53
5,20000,70,13605,13806.81
5,20000,80,15536,15497.46
5,20000,90,17455,17382.31
5,20000,100,19375,19312.88
6,50000,10,4881,4877.83
6,50000,20,9685,9738.63
6,50000,30,14506,14508.02
6,50000,40,19311,19265.90
6,50000,50,24120,24342.44
6,50000,60,28908,29039.39
6,50000,70,33701,33840.57
6,50000,80,38510,38937.97
6,50000,90,43320,43453.59
6,50000,100,48081,48353.55
7,50000,10,4894,4845.06
7,50000,20,9709,9590.44
7,50000,30,14518,14009.81
7,50000,40,19331,18771.55
7,50000,50,24122,23541.09
7,50000,60,28949,28741.70
7,50000,70,33750,33536.13
7,50000,80,38533,38219.53
7,50000,90,43296,42815.90
7,50000,100,48113,47540.45
8,50000,10,4889,4940.82
8,50000,20,9724,9781.97
8,50000,30,14539,14460.28
8,50000,40,19352,19261.69
8,50000,50,24145,24108.04
8,50000,60,28937,28862.47
8,50000,70,33727,33311.65
8,50000,80,38524,38399.45
8,50000,90,43294,43827.88
8,50000,100,48044,48474.56
9,100000,10,9723,9487.77
9,100000,20,19356,19470.19
9,100000,30,28974,29475.58
9,100000,40,38565,39410.72
9,100000,50,48128,48803.54
9,100000,60,57714,58435.64
9,100000,70,67254,68381.24
9,100000,80,76772,78198.56
9,100000,90,86279,88109.01
9,100000,100,95798,97705.57
10,100000,10,9727,9971.48
10,100000,20,19349,19222.35
10,100000,30,28960,28251.28
10,100000,40,38555,38509.96
10,100000,50,48130,48129.48
10,100000,60,57664,58258.32
10,100000,70,67214,68174.06
10,100000,80,76681,77780.99
10,100000,90,86190,87042.21
10,100000,100,95650,96909.07
11,100000,10,9731,9771.09
11,100000,20,19370,19029.02
11,100000,30,28944,28323.30
11,100000,40,38494,37955.46
11,100000,50,48079,47537.38
11,100000,60,57633,56508.29
11,100000,70,67143,65438.60
11,100000,80,76647,74402.18
11,100000,90,86114,83832.03
11,100000,100,95613,93103.47
