Algorithm,Size,Time(mcs),Comparisons
StandardQuickSort,100,213,5297
StandardMergeSort,100,186,974
StringQuickSort,100,39,1455
StringMergeSort,100,319,665
MSDRadixSort,100,48,0
MSDRadixSort_QuickSort,100,55,1201
StandardQuickSort,200,541,13130
StandardMergeSort,200,405,2098
StringQuickSort,200,85,3246
StringMergeSort,200,725,1455
MSDRadixSort,200,107,0
MSDRadixSort_QuickSort,200,111,2536
StandardQuickSort,300,939,23209
StandardMergeSort,300,640,3426
StringQuickSort,300,139,5403
StringMergeSort,300,1138,2367
MSDRadixSort,300,170,0
MSDRadixSort_QuickSort,300,171,3906
StandardQuickSort,400,1396,33947
StandardMergeSort,400,925,4601
StringQuickSort,400,202,7850
StringMergeSort,400,1505,3210
MSDRadixSort,400,223,0
MSDRadixSort_QuickSort,400,228,5046
StandardQuickSort,500,1911,46061
StandardMergeSort,500,1201,5978
StringQuickSort,500,279,10963
StringMergeSort,500,1846,4121
MSDRadixSort,500,285,0
MSDRadixSort_QuickSort,500,287,6317
StandardQuickSort,600,2452,59487
StandardMergeSort,600,1521,7758
StringQuickSort,600,358,14427
StringMergeSort,600,2475,5331
MSDRadixSort,600,354,0
MSDRadixSort_QuickSort,600,348,7455
StandardQuickSort,700,3053,73676
StandardMergeSort,700,1836,9889
StringQuickSort,700,462,18400
StringMergeSort,700,2861,6690
MSDRadixSort,700,433,0
MSDRadixSort_QuickSort,700,405,8692
StandardQuickSort,800,3700,88702
StandardMergeSort,800,2137,10937
StringQuickSort,800,558,22951
StringMergeSort,800,3297,7486
MSDRadixSort,800,500,0
MSDRadixSort_QuickSort,800,470,9826
StandardQuickSort,900,4367,104555
StandardMergeSort,900,2412,12583
StringQuickSort,900,670,28118
StringMergeSort,900,3660,8568
MSDRadixSort,900,559,0
MSDRadixSort_QuickSort,900,531,10966
StandardQuickSort,1000,5090,121942
StandardMergeSort,1000,2691,14038
StringQuickSort,1000,810,33912
StringMergeSort,1000,3971,9532
MSDRadixSort,1000,619,0
MSDRadixSort_QuickSort,1000,585,12028
StandardQuickSort,1100,5755,139210
StandardMergeSort,1100,2992,15540
StringQuickSort,1100,948,40245
StringMergeSort,1100,4721,10623
MSDRadixSort,1100,680,0
MSDRadixSort_QuickSort,1100,642,13228
StandardQuickSort,1200,6523,157846
StandardMergeSort,1200,3294,17416
StringQuickSort,1200,1108,47061
StringMergeSort,1200,5196,11909
MSDRadixSort,1200,742,0
MSDRadixSort_QuickSort,1200,699,14563
StandardQuickSort,1300,7310,177933
StandardMergeSort,1300,3634,19360
StringQuickSort,1300,1146,48656
StringMergeSort,1300,5697,13197
MSDRadixSort,1300,805,0
MSDRadixSort_QuickSort,1300,746,15753
StandardQuickSort,1400,8138,197470
StandardMergeSort,1400,3913,21036
StringQuickSort,1400,1297,55491
StringMergeSort,1400,6056,14359
MSDRadixSort,1400,866,0
MSDRadixSort_QuickSort,1400,809,17032
StandardQuickSort,1500,8970,217595
StandardMergeSort,1500,4272,22828
StringQuickSort,1500,1475,62858
StringMergeSort,1500,6515,15539
MSDRadixSort,1500,923,0
MSDRadixSort_QuickSort,1500,870,18144
StandardQuickSort,1600,9861,238942
StandardMergeSort,1600,4582,24727
StringQuickSort,1600,1644,70884
StringMergeSort,1600,6859,16795
MSDRadixSort,1600,986,0
MSDRadixSort_QuickSort,1600,931,19508
StandardQuickSort,1700,10745,260491
StandardMergeSort,1700,4855,26380
StringQuickSort,1700,1811,79071
StringMergeSort,1700,7246,17928
MSDRadixSort,1700,1040,0
MSDRadixSort_QuickSort,1700,984,20704
StandardQuickSort,1800,11622,281848
StandardMergeSort,1800,5160,28496
StringQuickSort,1800,2005,88306
StringMergeSort,1800,7680,19248
MSDRadixSort,1800,1105,0
MSDRadixSort_QuickSort,1800,1040,21951
StandardQuickSort,1900,12577,304833
StandardMergeSort,1900,5501,30228
StringQuickSort,1900,2189,97624
StringMergeSort,1900,7998,20395
MSDRadixSort,1900,1177,0
MSDRadixSort_QuickSort,1900,1109,23132
StandardQuickSort,2000,13507,327451
StandardMergeSort,2000,5744,31391
StringQuickSort,2000,2396,107825
StringMergeSort,2000,8370,21217
MSDRadixSort,2000,1239,0
MSDRadixSort_QuickSort,2000,1169,24282
StandardQuickSort,2100,14506,351185
StandardMergeSort,2100,6159,33188
StringQuickSort,2100,2576,117615
StringMergeSort,2100,9367,22447
MSDRadixSort,2100,1296,0
MSDRadixSort_QuickSort,2100,1226,25379
StandardQuickSort,2200,15551,375892
StandardMergeSort,2200,6407,34344
StringQuickSort,2200,2783,128329
StringMergeSort,2200,9984,23431
MSDRadixSort,2200,1363,0
MSDRadixSort_QuickSort,2200,1286,26749
