Algorithm,Size,Time(mcs),Comparisons
StandardQuickSort,100,85,1505
StandardMergeSort,100,237,907
StringQuickSort,100,39,980
StringMergeSort,100,348,598
MSDRadixSort,100,70,0
MSDRadixSort_QuickSort,100,32,78
StandardQuickSort,200,207,3830
StandardMergeSort,200,528,2315
StringQuickSort,200,85,2201
StringMergeSort,200,817,1487
MSDRadixSort,200,153,0
MSDRadixSort_QuickSort,200,93,305
StandardQuickSort,300,320,5978
StandardMergeSort,300,823,3973
StringQuickSort,300,137,3551
StringMergeSort,300,1277,2519
MSDRadixSort,300,206,0
MSDRadixSort_QuickSort,300,124,618
StandardQuickSort,400,487,9284
StandardMergeSort,400,1143,5830
StringQuickSort,400,192,5507
StringMergeSort,400,1693,3680
MSDRadixSort,400,259,0
MSDRadixSort_QuickSort,400,170,1036
StandardQuickSort,500,674,13569
StandardMergeSort,500,1475,7727
StringQuickSort,500,235,6406
StringMergeSort,500,2067,4840
MSDRadixSort,500,325,0
MSDRadixSort_QuickSort,500,223,1520
StandardQuickSort,600,827,16259
StandardMergeSort,600,1887,9746
StringQuickSort,600,301,8586
StringMergeSort,600,2821,6098
MSDRadixSort,600,365,0
MSDRadixSort_QuickSort,600,276,2053
StandardQuickSort,700,986,20111
StandardMergeSort,700,2141,11879
StringQuickSort,700,356,10076
StringMergeSort,700,3153,7425
MSDRadixSort,700,422,0
MSDRadixSort_QuickSort,700,330,2603
StandardQuickSort,800,1207,24778
StandardMergeSort,800,2465,14085
StringQuickSort,800,419,11243
StringMergeSort,800,3597,8751
MSDRadixSort,800,476,0
MSDRadixSort_QuickSort,800,390,3231
StandardQuickSort,900,1359,27172
StandardMergeSort,900,2884,16377
StringQuickSort,900,477,13185
StringMergeSort,900,4026,10149
MSDRadixSort,900,516,0
MSDRadixSort_QuickSort,900,454,3877
StandardQuickSort,1000,1605,32985
StandardMergeSort,1000,3170,18728
StringQuickSort,1000,547,16292
StringMergeSort,1000,4419,11554
MSDRadixSort,1000,596,0
MSDRadixSort_QuickSort,1000,495,4516
StandardQuickSort,1100,1775,36484
StandardMergeSort,1100,3475,21139
StringQuickSort,1100,575,15920
StringMergeSort,1100,5274,13038
MSDRadixSort,1100,639,0
MSDRadixSort_QuickSort,1100,549,5259
StandardQuickSort,1200,1917,38456
StandardMergeSort,1200,3857,23595
StringQuickSort,1200,630,18292
StringMergeSort,1200,5724,14546
MSDRadixSort,1200,704,0
MSDRadixSort_QuickSort,1200,598,5958
StandardQuickSort,1300,2279,48827
StandardMergeSort,1300,4254,26156
StringQuickSort,1300,706,19319
StringMergeSort,1300,6194,16093
MSDRadixSort,1300,768,0
MSDRadixSort_QuickSort,1300,661,6656
StandardQuickSort,1400,2374,49537
StandardMergeSort,1400,4629,28613
StringQuickSort,1400,818,23608
StringMergeSort,1400,6643,17619
MSDRadixSort,1400,842,0
MSDRadixSort_QuickSort,1400,727,7507
StandardQuickSort,1500,2489,52477
StandardMergeSort,1500,4930,31205
StringQuickSort,1500,839,24433
StringMergeSort,1500,7095,19164
MSDRadixSort,1500,911,0
MSDRadixSort_QuickSort,1500,785,8231
StandardQuickSort,1600,2855,60598
StandardMergeSort,1600,5309,33795
StringQuickSort,1600,932,27659
StringMergeSort,1600,7553,20739
MSDRadixSort,1600,999,0
MSDRadixSort_QuickSort,1600,834,9011
StandardQuickSort,1700,3026,65600
StandardMergeSort,1700,5661,36495
StringQuickSort,1700,993,27911
StringMergeSort,1700,7957,22321
MSDRadixSort,1700,1068,0
MSDRadixSort_QuickSort,1700,892,9941
StandardQuickSort,1800,3164,66701
StandardMergeSort,1800,6019,39150
StringQuickSort,1800,1018,29080
StringMergeSort,1800,8409,23946
MSDRadixSort,1800,1153,0
MSDRadixSort_QuickSort,1800,962,10809
StandardQuickSort,1900,3180,67777
StandardMergeSort,1900,6831,41858
StringQuickSort,1900,1094,31316
StringMergeSort,1900,8787,25580
MSDRadixSort,1900,1236,0
MSDRadixSort_QuickSort,1900,1008,11681
StandardQuickSort,2000,3516,74707
StandardMergeSort,2000,6737,44588
StringQuickSort,2000,1150,32703
StringMergeSort,2000,9252,27194
MSDRadixSort,2000,1352,0
MSDRadixSort_QuickSort,2000,1098,12476
