Algorithm,Size,Time(mcs),Comparisons
StandardQuickSort,100,431,8500
StandardMergeSort,100,209,1196
StringQuickSort,100,52,1218
StringMergeSort,100,315,598
MSDRadixSort,100,76,0
MSDRadixSort_QuickSort,100,83,1406
StandardQuickSort,200,1544,27920
StandardMergeSort,200,472,2630
StringQuickSort,200,129,3135
StringMergeSort,200,694,1315
MSDRadixSort,200,156,0
MSDRadixSort_QuickSort,200,180,3173
StandardQuickSort,300,3263,56478
StandardMergeSort,300,739,4026
StringQuickSort,300,209,5038
StringMergeSort,300,1145,2013
MSDRadixSort,300,245,0
MSDRadixSort_QuickSort,300,295,4578
StandardQuickSort,400,5675,96024
StandardMergeSort,400,1018,5656
StringQuickSort,400,283,6905
StringMergeSort,400,1520,2828
MSDRadixSort,400,300,0
MSDRadixSort_QuickSort,400,360,6376
StandardQuickSort,500,8751,145194
StandardMergeSort,500,1305,7562
StringQuickSort,500,395,9475
StringMergeSort,500,1826,3781
MSDRadixSort,500,383,0
MSDRadixSort_QuickSort,500,453,7910
StandardQuickSort,600,12301,204006
StandardMergeSort,600,1613,8808
StringQuickSort,600,486,12011
StringMergeSort,600,2409,4404
MSDRadixSort,600,455,0
MSDRadixSort_QuickSort,600,554,9458
StandardQuickSort,700,16451,272916
StandardMergeSort,700,1847,10510
StringQuickSort,700,598,14830
StringMergeSort,700,2775,5255
MSDRadixSort,700,546,0
MSDRadixSort_QuickSort,700,634,11013
StandardQuickSort,800,21233,352338
StandardMergeSort,800,2184,12176
StringQuickSort,800,725,18251
StringMergeSort,800,3167,6088
MSDRadixSort,800,620,0
MSDRadixSort_QuickSort,800,732,12772
StandardQuickSort,900,26722,441622
StandardMergeSort,900,2498,14182
StringQuickSort,900,873,21885
StringMergeSort,900,3536,7091
MSDRadixSort,900,692,0
MSDRadixSort_QuickSort,900,824,14429
StandardQuickSort,1000,32861,540690
StandardMergeSort,1000,2806,16156
StringQuickSort,1000,962,24515
StringMergeSort,1000,3891,8078
MSDRadixSort,1000,768,0
MSDRadixSort_QuickSort,1000,905,16004
StandardQuickSort,1100,39429,650144
StandardMergeSort,1100,3025,17566
StringQuickSort,1100,1126,28868
StringMergeSort,1100,4539,8783
MSDRadixSort,1100,835,0
MSDRadixSort_QuickSort,1100,992,17567
StandardQuickSort,1200,46867,769960
StandardMergeSort,1200,3386,19032
StringQuickSort,1200,1264,32179
StringMergeSort,1200,5098,9516
MSDRadixSort,1200,916,0
MSDRadixSort_QuickSort,1200,1103,19317
StandardQuickSort,1300,54784,898886
StandardMergeSort,1300,3768,20996
StringQuickSort,1300,1454,37511
StringMergeSort,1300,5442,10498
MSDRadixSort,1300,993,0
MSDRadixSort_QuickSort,1300,1190,21037
StandardQuickSort,1400,63277,1037646
StandardMergeSort,1400,4019,22560
StringQuickSort,1400,1625,41919
StringMergeSort,1400,5853,11280
MSDRadixSort,1400,1066,0
MSDRadixSort_QuickSort,1400,1275,22528
StandardQuickSort,1500,72529,1186316
StandardMergeSort,1500,4281,24262
StringQuickSort,1500,1819,47028
StringMergeSort,1500,6229,12131
MSDRadixSort,1500,1143,0
MSDRadixSort_QuickSort,1500,1364,24097
StandardQuickSort,1600,82327,1345554
StandardMergeSort,1600,4613,26068
StringQuickSort,1600,2010,52163
StringMergeSort,1600,6581,13034
MSDRadixSort,1600,1194,0
MSDRadixSort_QuickSort,1600,1463,25966
StandardQuickSort,1700,92129,1514344
StandardMergeSort,1700,4843,28144
StringQuickSort,1700,2178,57040
StringMergeSort,1700,6948,14072
MSDRadixSort,1700,1269,0
MSDRadixSort_QuickSort,1700,1554,27502
StandardQuickSort,1800,103286,1693452
StandardMergeSort,1800,5175,30098
StringQuickSort,1800,2372,62111
StringMergeSort,1800,7302,15049
MSDRadixSort,1800,1326,0
MSDRadixSort_QuickSort,1800,1645,29193
StandardQuickSort,1900,115723,1881896
StandardMergeSort,1900,5469,32050
StringQuickSort,1900,2567,67584
StringMergeSort,1900,7691,16025
MSDRadixSort,1900,1395,0
MSDRadixSort_QuickSort,1900,1726,30629
StandardQuickSort,2000,128107,2081306
StandardMergeSort,2000,5775,34300
StringQuickSort,2000,2863,74982
StringMergeSort,2000,8042,17150
MSDRadixSort,2000,1463,0
MSDRadixSort_QuickSort,2000,1823,32379
StandardQuickSort,2100,141737,2290330
StandardMergeSort,2100,6209,35982
StringQuickSort,2100,3094,80778
StringMergeSort,2100,9034,17991
MSDRadixSort,2100,1578,0
MSDRadixSort_QuickSort,2100,1926,33940
StandardQuickSort,2200,154883,2509122
StandardMergeSort,2200,6495,37414
StringQuickSort,2200,3353,88014
StringMergeSort,2200,9564,18707
MSDRadixSort,2200,1621,0
MSDRadixSort_QuickSort,2200,2045,35659
StandardQuickSort,2300,168994,2737550
StandardMergeSort,2300,6781,38780
StringQuickSort,2300,3615,94480
StringMergeSort,2300,10152,19390
MSDRadixSort,2300,1686,0
MSDRadixSort_QuickSort,2300,2110,37167
StandardQuickSort,2400,184706,2976988
StandardMergeSort,2400,7154,40318
StringQuickSort,2400,3825,100801
StringMergeSort,2400,10534,20159
MSDRadixSort,2400,1760,0
MSDRadixSort_QuickSort,2400,2199,39025
StandardQuickSort,2500,200445,3225406
StandardMergeSort,2500,7468,41960
StringQuickSort,2500,4133,108551
StringMergeSort,2500,11013,20980
MSDRadixSort,2500,1835,0
MSDRadixSort_QuickSort,2500,2291,40516
StandardQuickSort,2600,215532,3484806
StandardMergeSort,2600,7779,44254
StringQuickSort,2600,4432,116640
StringMergeSort,2600,11374,22127
MSDRadixSort,2600,1905,0
MSDRadixSort_QuickSort,2600,2381,42282
StandardQuickSort,2700,234328,3753386
StandardMergeSort,2700,8078,45708
StringQuickSort,2700,4728,124656
StringMergeSort,2700,11815,22854
MSDRadixSort,2700,1992,0
MSDRadixSort_QuickSort,2700,2486,43832
StandardQuickSort,2800,252346,4032996
StandardMergeSort,2800,8409,47896
StringQuickSort,2800,5030,132408
StringMergeSort,2800,12188,23948
MSDRadixSort,2800,2067,0
MSDRadixSort_QuickSort,2800,2566,45660
StandardQuickSort,2900,267836,4321632
StandardMergeSort,2900,8760,49610
StringQuickSort,2900,5332,140786
StringMergeSort,2900,12705,24805
MSDRadixSort,2900,2168,0
MSDRadixSort_QuickSort,2900,2679,47114
StandardQuickSort,3000,286987,4620932
StandardMergeSort,3000,9066,51582
StringQuickSort,3000,5654,148884
StringMergeSort,3000,13028,25791
MSDRadixSort,3000,2213,0
MSDRadixSort_QuickSort,3000,2764,48829
