index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
1.0,tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),23990.0,63.0,intel,core i3,2.0,4.0,,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
2.0,tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),35990.0,67.0,intel,core i7,4.0,8.0,16.0,SSD,1024.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
3.0,hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),51100.0,73.0,amd,ryzen 5,6.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,amd,dedicated,False,,1920.0,1080.0,windows,1
4.0,acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),39990.0,62.0,intel,core i5,12.0,,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1920.0,1080.0,windows,1
5.0,lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),28580.0,62.0,amd,ryzen 3,4.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
6.0,apple,,70990.0,,apple,m1,8.0,8.0,8.0,SSD,256.0,No secondary storage,0.0,apple,apple,False,13.3,2560.0,1600.0,mac,1
7.0,infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),34990.0,56.0,intel,core i5,4.0,8.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
8.0,asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),49990.0,70.0,intel,core i5,6.0,12.0,,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
9.0,hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),36990.0,60.0,intel,core i3,6.0,8.0,8.0,SSD,512.0,No secondary storage,,intel,integrated,False,15.6,1920.0,1080.0,windows,1
10.0,infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),59990.0,71.0,intel,core i9,14.0,20.0,32.0,SSD,1024.0,No secondary storage,,intel,integrated,False,15.6,1920.0,,windows,1
11.0,dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),34990.0,60.0,intel,,6.0,8.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
12.0,,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64990.0,68.0,intel,core i5,,16.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,13.3,1080.0,1920.0,windows,1
13.0,msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),52990.0,71.0,,core i5,,12.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,2
14.0,asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),57390.0,71.0,amd,ryzen 7,8.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,16.0,1920.0,1200.0,windows,1
15.0,lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),,66.0,intel,core i5,4.0,,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,15.6,1920.0,1080.0,windows,1
